[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:33:15 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13749640, 'exchange_timestamp': 1750669394000, 'last_traded_price': 5606495, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:15 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13750100, 'exchange_timestamp': 1750669395000, 'last_traded_price': 5606230, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:16 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13750325, 'exchange_timestamp': 1750669395000, 'last_traded_price': 5606270, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:16 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13750783, 'exchange_timestamp': 1750669396000, 'last_traded_price': 5606435, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:17 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13751094, 'exchange_timestamp': 1750669396000, 'last_traded_price': 5605540, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:17 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13751479, 'exchange_timestamp': 1750669397000, 'last_traded_price': 5606185, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:18 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13751707, 'exchange_timestamp': 1750669397000, 'last_traded_price': 5606105, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:18 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13752166, 'exchange_timestamp': 1750669398000, 'last_traded_price': 5605575, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:19 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13752391, 'exchange_timestamp': 1750669398000, 'last_traded_price': 5605685, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:19 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13752850, 'exchange_timestamp': 1750669399000, 'last_traded_price': 5606190, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:20 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13753077, 'exchange_timestamp': 1750669399000, 'last_traded_price': 5606250, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:20 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13753507, 'exchange_timestamp': 1750669400000, 'last_traded_price': 5606250, 'subscription_mode_val': 'LTP'}
